"pnum","age","female","ethnic","cauc","afamer","amerind","hawaii","asian","nonnative","year","marstat","momeduc","dadeduc","momjob","dadjob","ownhome","ownhome2","ownbus","spg1a1","spg1a2","spg1b","spg2a1","spg2a2","spg2b","spg3a1","spg3a2","spg3b","spg4a1","spg4a2","spg4b","spg5a1","spg5a2","spg5b","spg6a1","spg6a2","spg6b","spg7a1","spg7a2","spg7b","spg8a1","spg8a2","spg8b","spg9a1","spg9a2","spg9b","spg10a1","spg10a2","spg10b","spg11a1","spg11a2","spg11b","spg12a1","spg12a2","spg12b","spg13a1","spg13a2","spg13b","spg14a1","spg14a2","spg14b","spg15a1","spg15a2","spg15b","spg16a1","spg16a2","spg16b","spg17a1","spg17a2","spg17b","spg18a1","spg18a2","spg18b","spg19a1","spg19a2","spg19b","spg20a1","spg20a2","spg20b","spg21a1","spg21a2","spg21b","spg22a1","spg22a2","spg22b","spg23a1","spg23a2","spg23b","spg24a1","spg24a2","spg24b","spg25a1","spg25a2","spg25b","spg26a1","spg26a2","spg26b","spg27a1","spg27a2","spg27b","spg28a1","spg28a2","spg28b","spg29a1","spg29a2","spg29b","spg30a1","spg30a2","spg30b","spg31a1","spg31a2","spg31b","spg32a1","spg32a2","spg32b","spg33a1","spg33a2","spg33b","spg34a1","spg34a2","spg34b","spg35a1","spg35a2","spg35b","spg36a1","spg36a2","spg36b","upg1a1","upg1a2","upg1b","upg1c","upg1c1","upg1c2","upg2a1","upg2a2","upg2b","upg2c","upg2c1","upg2c2","upg3a1","upg3a2","upg3b","upg3c","upg3c1","upg3c2","upg4a1","upg4a2","upg4b","upg4c","upg4c1","upg4c2","upg5a1","upg5a2","upg5b","upg5c","upg5c1","upg5c2","upg6a1","upg6a2","upg6b","upg6c","upg6c1","upg6c2","upg7a1","upg7a2","upg7b","upg7c","upg7c1","upg7c2","upg8a1","upg8a2","upg8b","upg8c","upg8c1","upg8c2","upg9a1","upg9a2","upg9b","upg9c","upg9c1","upg9c2","upg10a1","upg10a2","upg10b","upg10c","upg10c1","upg10c2","upg11a1","upg11a2","upg11b","upg11c","upg11c1","upg11c2","upg12a1","upg12a2","upg12b","upg12c","upg12c1","upg12c2","upg13a1","upg13a2","upg13b","upg13c","upg13c1","upg13c2","upg14a1","upg14a2","upg14b","upg14c","upg14c1","upg14c2","upg15a1","upg15a2","upg15b","upg15c","upg15c1","upg15c2","upg16a1","upg16a2","upg16b","upg16c","upg16c1","upg16c2","dupg12a1","dupg12a2","dupg12b","dupg12c","dupg12c1","dupg12c2","dupg13a1","dupg13a2","dupg13b","dupg13c","dupg13c1","dupg13c2","dupg14a1","dupg14a2","dupg14b","dupg14c","dupg14c1","dupg14c2","suppnq1","suppnq2","suppnq3","nqfrat","nqrelig","nqcult","nqserv","nqsgov","nqnews","nqathim","nqathcoll","nqsliv","nqcrart","nqathsup","nqacad","nqrotc","skipped","edited","minutes","multrace","duke","pcis_pos","pcis_pun","pcis_ineff","ecrs_rejanx","ecrs_intav","spgmax","countmax","closemax","upgmax","ucountmax","uclosemax","spgcount","spgcountsum","spgclosesum","upgcount","upgcountsum","upgclosesum","inculcation_E","commonality_E","inculcation_P","commonality_P","inculcation_A","commonality_A","race_cat"
244,20,0,0,0,0,0,0,1,0,3,1,4,5,1,1,1,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,1,1,1,1,5,4,0,0,NA,0,0,NA,0,0,NA,1,50,20,1,100,10,1,15,1,1,20,2,1,5,2,0,0,NA,1,25,10,1,10,2,1,1,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,2,0,2,NA,6,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,1,2,NA,0,0,NA,NA,NA,NA,1,1,1,1,1,NA,0,0,NA,NA,NA,NA,1,1,1,1,2,NA,1,1,1,1,2,NA,1,3,3,1,3,NA,1,15,8,1,2,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,1,3,NA,1,4,3,1,6,NA,2,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,16,11,11,30,26,63,1,1,80.5,1,1,2,2,2,5,6,4,1.21183655414312,0.794078939215181,1.23851395508262,0.730115886117624,1.1145768769281,0.592295105339827,"asian"
245,23,0,0,1,0,0,0,0,0,0,5,7,5,2,4,1,1,1,1,4,1,1,0,1,1,5,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,6,2,1,3,NA,1,2,1,1,1,NA,1,3,2,1,3,NA,1,1,2,1,1,NA,1,3,2,1,3,NA,1,2,3,1,2,NA,1,2,3,1,2,NA,1,1,1,1,5,NA,1,1,1,1,16,NA,1,5,4,2,NA,12,1,2,1,2,NA,12,1,2,6,2,NA,12,1,2,5,1,10,NA,1,2,1,1,6,NA,1,8,6,2,NA,4,NA,NA,NA,NA,NA,NA,1,9,12,1,5,NA,1,3,12,1,5,NA,1,5,23,2,NA,5,3,4,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,10,0,1,14,16,14,23,27,73,1,1,80.5,5,4,8,14,11,12,30,32,0.0968134188751641,0.103163747170163,0.0385126859866816,0.0265654474684369,0.400294508717859,0.267657052424496,"cauc"
246,20,0,0,1,0,0,0,0,0,3,1,4,4,4,1,1,0,0,1,5,0,0,0,NA,1,1,0,0,0,NA,1,2,0,1,1,0,0,0,NA,1,1,0,0,0,NA,0,0,NA,1,2,0,1,2,2,0,0,NA,1,1,0,0,0,NA,0,0,NA,0,0,NA,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,5,1,1,5,0,1,2,1,0,0,NA,0,0,NA,1,50,4,1,50,3,1,20,1,1,20,0,1,5,2,1,5,1,1,50,10,1,10,1,1,4,1,1,4,3,1,2,NA,1,3,1,1,2,NA,0,0,NA,NA,NA,NA,1,1,0,2,NA,6,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,10,3,1,2,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,0,1,3,NA,1,2,1,1,2,NA,1,100,50,1,3,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,10,1,1,1,NA,1,10,1,1,1,NA,3,3,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13,0,1,18,12,11,17,24,73,2,0,54.3,3,1,8,11,2,5,19,7,0.73463039586141,0.761726409475923,1.08471471281403,0.846654661349307,1.37544961136223,0.798972183210424,"cauc"
247,21,1,1,0,1,1,0,0,0,4,1,5,4,1,2,1,0,0,1,3,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,3,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,4,0,1,20,3,1,50,5,1,3,0,1,4,4,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,2,0,1,2,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,2,1,1,2,NA,1,2,1,1,3,NA,1,50,2,1,3.5,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1,1,16,14,10,31,24,38,1,1,80.5,2,0,2,4,2,2,4,1,0.911216144549693,0.880963105443929,0.898291982782321,0.754420556893743,0.728316735749678,0.627744961441546,"multrace"
248,22,1,0,1,0,0,0,0,0,4,4,3,4,1,1,1,0,0,1,5,0,0,0,NA,0,0,NA,0,0,NA,1,2,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,2,1,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,5,0,1,50,1,1,5,0,1,1,0,0,0,NA,1,200,20,1,50,2,1,15,2,1,10,1,1,5,1,1,3,0,1,100,6,1,100,15,1,4,1,1,2,0,2,NA,2,1,1,1,2,NA,7,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,4,1,2,NA,7,1,1,0,2,NA,2,1,1,0,1,3,NA,0,0,NA,NA,NA,NA,1,1,0,2,NA,7,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,4,1,2,NA,2,1,5,2,1,2,NA,1,150,20,1,4,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,NA,5,1,5,0,2,NA,7,1,20,2,1,2,NA,4,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,1,20,8,6,27,13,73,2,0,76.8,1,0,3,5,1,7,14,3,0.73198522975626,0.764997803631179,0.733262066005272,0.747969505384923,0.870641081225299,0.746889626754577,"cauc"
249,19,1,0,0,0,0,0,1,0,2,5,3,8,1,1,1,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,10,10,1,2,2,0,0,NA,1,1,0,0,0,NA,1,50,10,1,100,50,1,2,1,0,0,NA,1,3,1,0,0,NA,1,70,50,1,5,5,1,1,0,0,0,NA,NA,NA,NA,1,2,0,1,2,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,2,1,2,NA,5,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,2,NA,2,0,0,NA,NA,NA,NA,1,5,1,2,NA,3,NA,NA,NA,NA,NA,NA,1,7,3,1,2,NA,1,2,2,1,8,NA,1,10,8,1,2,NA,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,14,15,7,18,20,0,0,0,64.1,2,1,0,0,NA,3,5,2,0.885279079178185,0.780760152963489,0.965624301314458,0.704229847977324,0.727312800790444,0.555949606055417,"asian"
250,21,1,0,0,0,0,0,1,0,4,2,5,9,1,1,1,0,0,0,0,NA,0,0,NA,1,1,1,0,0,NA,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,7,3,1,5,3,0,0,NA,0,0,NA,1,2,0,1,100,17,1,31,9,1,15,5,1,5,3,1,4,1,0,0,NA,1,100,15,1,11,0,1,5,3,0,0,NA,NA,NA,NA,1,1,1,1,4,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,1,4,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,0,2,NA,9,0,0,NA,NA,NA,NA,1,15,2,1,3,NA,0,0,NA,NA,NA,NA,1,50,11,1,3.5,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,1,5,5,1,3.5,NA,2,5,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,0,1,13,18,12,30,23,73,1,0,70.9,1,1,2,2,1,3,17,4,0.0793072191133954,0.127448638596192,0.633452590035291,0.684426559710093,0.779345020386208,0.650542641557943,"asian"
251,22,0,0,1,0,0,0,0,0,4,1,5,3,1,1,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,1,2,2,1,6,4,0,0,NA,0,0,NA,1,50,15,1,3,2,1,2,1,0,0,NA,1,1,1,0,0,NA,1,40,12,1,2,2,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,3,3,1,4,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,30,8,1,4,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,1,15,13,9,23,9,0,0,0,42.7,3,3,0,0,NA,1,3,3,1.09004674035911,0.835365467281417,1.11943250660388,0.763219810029851,1.19044449848346,0.743646589538687,"cauc"
252,18,1,0,0,1,0,0,0,0,1,1,7,7,3,1,1,0,0,1,200,10,1,3,3,0,0,NA,0,0,NA,0,0,NA,1,50,25,0,0,NA,1,15,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,20,15,1,1,1,1,10,5,0,0,NA,1,1000,100,1,200,3,1,1000,50,1,5,2,1,1,1,0,0,NA,0,0,NA,1,50,50,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,10,4,2,NA,8,1,2,2,2,NA,8,0,0,NA,NA,NA,NA,1,6,6,2,NA,8,0,0,NA,NA,NA,NA,1,1,1,2,NA,6,1,100,6,2,NA,8,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,11,0,1,18,9,13,36,14,60,50,25,80.5,2,2,3,68,31,3,18,12,0.870416556096592,0.640230092943407,0.845756585116568,0.449238077476819,0.94515776564908,0.434365960284875,"afamer"
253,23,1,0,1,0,0,0,0,0,4,1,4,5,5,1,1,0,1,1,5,2,1,5,5,0,0,NA,1,5,5,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,2,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,1,50,25,1,50,10,1,20,10,0,0,NA,0,0,NA,1,500,50,1,30,10,1,5,1,0,0,NA,1,5,1,0,0,NA,1,450,45,1,50,40,0,0,NA,0,0,NA,NA,NA,NA,1,3,2,1,4,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,3,1,1,4,NA,1,10,5,1,3,NA,0,0,NA,NA,NA,NA,1,100,20,1,4,NA,NA,NA,NA,NA,NA,NA,1,5,2,1,4,NA,1,5,2,1,4,NA,2,NA,NA,NA,NA,NA,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,17,19,6,34,10,73,1,1,54.3,3,2,5,14,12,3,16,8,0.864911848842544,0.869912931521016,0.940533808413865,0.770319785717603,0.886317526084989,0.855087574611868,"cauc"
254,19,1,1,1,0,0,0,0,0,1,4,2,1,1,1,1,0,0,1,1,0,0,0,NA,0,0,NA,0,0,NA,1,4,2,1,2,1,0,0,NA,1,2,1,0,0,NA,0,0,NA,1,2,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,2,2,1,1,1,1,3,3,1,2,1,0,0,NA,1,8,4,1,1,0,1,50,113,1,2,2,1,7,3,1,30,15,1,8,7,1,1,0,1,10,9,1,6,4,1,1,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,2,NA,4,1,2,1,1,1,NA,1,2,1,2,NA,6,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,1,7,NA,0,0,NA,NA,NA,NA,1,4,2,2,NA,7,1,2,1,2,NA,7,1,3,2,2,NA,7,1,5,3,2,NA,7,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,1,12,15,14,30,13,73,4,2,80.5,1,1,6,13,8,6,12,7,1.1030577588614,0.87422206063953,0.813302101398363,0.621956551652115,1.39634822074497,0.849388016619348,"cauc"
255,21,1,0,1,1,1,0,0,0,4,3,5,3,1,5,1,0,0,1,4,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,1,1,1,0,0,NA,0,0,NA,1,3,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,1,10,1,1,3,0,1,90,10,1,5,0,1,6,3,0,0,NA,1,3,1,1,15,3,0,0,NA,1,2,0,1,3,NA,1,1,1,1,2,NA,1,4,2,1,2,NA,1,6,3,1,3,NA,0,0,NA,NA,NA,NA,1,1,1,1,2,NA,1,2,2,1,2,NA,0,0,NA,NA,NA,NA,1,0,0,1,3,NA,1,4,2,2,NA,10,0,0,NA,NA,NA,NA,1,3,1,1,3,NA,1,20,3,1,3,NA,0,0,NA,NA,NA,NA,1,200,20,1,3,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,5,0,2,NA,9,2,NA,NA,NA,NA,NA,4,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,13,1,1,14,18,11,38,22,60,1,1,80.5,4,2,4,6,5,10,43,15,1.28525375385048,0.883316890556559,1.80460058517291,0.85888883469244,1.59086302923307,0.711110004138906,"multrace"
256,19,1,0,1,0,1,0,0,0,2,1,4,6,2,1,1,0,0,1,5,1,1,8,2,1,1,1,0,0,NA,1,2,1,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,7,1,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,18,5,1,4,1,1,2,1,1,1,1,0,0,NA,1,230,56,1,17,5,1,18,0,1,5,0,1,2,0,1,3,0,1,160,14,1,10,8,1,1,1,0,0,NA,NA,NA,NA,1,1,1,1,1.5,NA,0,0,NA,NA,NA,NA,1,2,0,2,NA,7,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,2,NA,5,0,0,NA,NA,NA,NA,1,1,1,1,1.5,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,0,1,1.5,NA,1,3,0,1,1.5,NA,1,4,0,1,1.5,NA,1,50,40,1,1.5,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,17,3,1,1,NA,1,5,0,1,1.5,NA,4,4,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14,1,1,18,12,11,24,21,73,2,1,64.1,1,1,7,21,7,6,9,3,0.979978668197783,0.845960899066094,1.09666337489246,0.681179983723564,1.53788183577116,0.848102173585942,"multrace"
257,18,1,0,1,0,0,0,0,0,1,1,5,2,1,1,1,0,1,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,3,1,1,6,23,0,0,NA,1,12,2,0,0,NA,1,75,8,1,12,3,1,50,9,1,7,2,1,5,1,0,0,NA,1,10,2,1,25,5,1,2,1,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,0,2,NA,7,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,12,2,2,NA,7,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,1,7,1,2,NA,2,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,16,12,9,33,21,0,0,0,42.7,1,0,0,0,NA,1,1,0,0.622993521840666,0.931989177358809,0.801284348736368,0.916877821605178,0.737117524599669,0.835924074602249,"cauc"
258,21,0,0,1,0,0,0,0,0,4,1,4,4,1,1,1,0,0,1,5,1,1,2,1,0,0,NA,0,0,NA,1,1,0,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,2,1,1,2,1,1,4,1,0,0,NA,0,0,NA,1,15,5,1,3,2,1,5,0,0,0,NA,1,5,3,0,0,NA,1,2,1,1,3,1,0,0,NA,1,5,2,1,3,NA,1,2,1,1,3,NA,0,0,NA,NA,NA,NA,1,1,1,1,2,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,5,3,1,4,NA,1,10,2,1,2,NA,1,3,2,1,2,NA,1,350,30,1,4,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,10,1,1,4,NA,1,50,3,1,4,NA,4,4,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,10,0,1,20,12,11,28,21,73,1,0,54.3,2,1,5,6,4,5,23,9,1.3236634229551,0.896699411468584,1.02588807144836,0.703918420782509,0.842658844384069,0.578894195221878,"cauc"
259,20,1,0,1,0,0,0,0,0,2,2,3,3,6,4,1,0,1,0,0,NA,0,0,NA,0,0,NA,1,10,2,1,1,1,1,10,0,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,4,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,3,2,1,1,1,0,0,NA,0,0,NA,0,0,NA,1,100,20,1,5,2,1,5,4,0,0,NA,1,5,2,0,0,NA,1,20,10,1,3,2,1,5,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,1,1.5,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,8,2,1,2,NA,1,3,1,2,NA,2,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,1,2,NA,0,0,NA,NA,NA,NA,1,20,5,1,2,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,6,2,1,2,NA,1,6,2,2,NA,10,4,3,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,0,1,15,14,9,17,31,73,1,1,80.5,3,1,5,26,4,4,13,5,1.0318050766975,0.878515856629444,1.2872638857065,0.747741997936445,1.40457395848397,0.781786786025165,"cauc"
260,20,1,0,1,1,0,0,0,0,3,1,9,4,1,1,1,0,0,1,10,5,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,3,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,10,5,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,10,5,0,0,NA,0,0,NA,NA,NA,NA,1,1,1,2,NA,9,0,0,NA,NA,NA,NA,1,1,1,1,2,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,30,20,1,4,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,3,NA,1,2,1,2,NA,5,1,1,1,1,3,NA,3,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15,1,1,19,9,9,15,18,60,1,1,54.3,1,1,1,1,1,2,2,2,1.17455856470598,0.76665977044695,1.18661742665893,0.547905654932778,1.45201329758901,0.691098571855882,"multrace"
